date,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,title,transp
2025-01-07T22:35:00Z,,,,20250107T233500CET-7779MtDUAb@competitie.vttl.be,,POVLH01/012 HNO Assenede A / Olsene A,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede A / Olsene A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7779hlhO4V@competitie.vttl.be,,POVLH02/012 St. Pauwels B / HNO Assenede A,Turnzaal De Zandloper, Zandstraat 16, 9170 Sint-Pauwels,,,St. Pauwels B / HNO Assenede A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7780U35wcv@competitie.vttl.be,,POVLH03/011 HNO Assenede A / Kruibeke B,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede A / Kruibeke B,
2025-01-07T22:35:00Z,,,,20250107T233500CET-77815hUwHZ@competitie.vttl.be,,POVLH04/011 HNO Assenede A / Zele B,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede A / Zele B,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7781Kt8Izp@competitie.vttl.be,,POVLH05/011 Galmaarden B / HNO Assenede A,T.R.B.Zaal, Marktplein 19, 1570 Galmaarden,,,Galmaarden B / HNO Assenede A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7782OUhk4C@competitie.vttl.be,,POVLH06/012 HNO Assenede A / Sleidinge A,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede A / Sleidinge A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7782drsopg@competitie.vttl.be,,POVLH07/012 Rooigem-Gent F / HNO Assenede A,TTC Rooigem Gent vzw, Rooigemlaan 180, 9000 Gent,,,Rooigem-Gent F / HNO Assenede A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7783kAJVR9@competitie.vttl.be,,POVLH08/010 HNO Assenede A / Sterke Stut A,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede A / Sterke Stut A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7783ZWOVUu@competitie.vttl.be,,POVLH09/009 Ronse A / HNO Assenede A,Sporthal 't Rosco, Leuzesesteenweg 241, 9600 Ronse,,,Ronse A / HNO Assenede A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7784NI4gtU@competitie.vttl.be,,POVLH10/007 HNO Assenede A / Nova B,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede A / Nova B,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7785w3uUVf@competitie.vttl.be,,POVLH11/008 Merelbeke F / HNO Assenede A,TTC Merelbeke, Plataan 2, 9820 Merelbeke,,,Merelbeke F / HNO Assenede A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-77850wDV0N@competitie.vttl.be,,POVLH12/012 Olsene A / HNO Assenede A,Ontmoetingscentrum (Zaal Begonia), Kerkstraat 36, 9870 Zulte (Olsene),,,Olsene A / HNO Assenede A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-77861mrj7v@competitie.vttl.be,,POVLH13/012 HNO Assenede A / St. Pauwels B,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede A / St. Pauwels B,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7786ucnh9K@competitie.vttl.be,,POVLH14/011 Kruibeke B / HNO Assenede A,O.L.V-School, Langestraat 14, 9150 Kruibeke,,,Kruibeke B / HNO Assenede A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7787chTnZA@competitie.vttl.be,,POVLH15/011 Zele B / HNO Assenede A,Sporthal De Zeven, Koevliet 1, 9240 Zele,,,Zele B / HNO Assenede A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7787vnWnTv@competitie.vttl.be,,POVLH16/011 HNO Assenede A / Galmaarden B,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede A / Galmaarden B,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7788u2UgCj@competitie.vttl.be,,POVLH17/012 Sleidinge A / HNO Assenede A,GBS Wippelgem, Droogte 208, 9940 Evergem (Wippelgem),,,Sleidinge A / HNO Assenede A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7788L6BkNi@competitie.vttl.be,,POVLH18/012 HNO Assenede A / Rooigem-Gent F,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede A / Rooigem-Gent F,
2025-01-07T22:35:00Z,,,,20250107T233500CET-77890eb0LX@competitie.vttl.be,,POVLH19/010 Sterke Stut A / HNO Assenede A,Sporthal De Kluize, Sportstraat 5, 9860 Scheldewindeke,,,Sterke Stut A / HNO Assenede A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7789E04WmS@competitie.vttl.be,,POVLH20/009 HNO Assenede A / Ronse A,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede A / Ronse A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-77907Jrg5u@competitie.vttl.be,,POVLH21/007 Nova B / HNO Assenede A,Sporthal ' De Capelderij ', Vekenstraat 1-3, 9255 Buggenhout-Opdorp,,,Nova B / HNO Assenede A,
2025-01-07T22:35:00Z,,,,20250107T233500CET-7791z9mFOA@competitie.vttl.be,,POVLH22/008 HNO Assenede A / Merelbeke F,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede A / Merelbeke F,
