date,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,title,transp
2024-09-13T20:15:00,,,,20250107T233506CET-0269unda9f@competitie.vttl.be,,POVLH01/054 HNO Assenede B / Sint-Niklase F,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede B / Sint-Niklase F,
2024-09-20T19:30:00,,,,20250107T233506CET-0270FbFaj7@competitie.vttl.be,,POVLH02/054 D'leeuw 2001 B / HNO Assenede B,Sportzaal A. Ottoy, Walleken 12, 9470 Denderleeuw,,,D'leeuw 2001 B / HNO Assenede B,
2024-09-27T20:15:00,,,,20250107T233506CET-0270HZ1Pel@competitie.vttl.be,,POVLH03/053 HNO Assenede B / QLT Gent D,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede B / QLT Gent D,
2024-10-04T20:15:00,,,,20250107T233506CET-0271r2EsvT@competitie.vttl.be,,POVLH04/053 HNO Assenede B / Kruibeke E,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede B / Kruibeke E,
2024-10-19T19:30:00,,,,20250107T233506CET-0271SmGS8P@competitie.vttl.be,,POVLH05/053 Meteor B / HNO Assenede B,'t Sportkot, Sompelplein 39, 9700 Oudenaarde,,,Meteor B / HNO Assenede B,
2024-10-25T20:15:00,,,,20250107T233506CET-02729dgFBR@competitie.vttl.be,,POVLH06/054 HNO Assenede B / Maldegem C,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede B / Maldegem C,
2024-11-08T20:00:00,,,,20250107T233506CET-0272GNPU4l@competitie.vttl.be,,POVLH07/054 De Pinte B / HNO Assenede B,Ontmoetingscentrum Polderbos, Polderbos 20, 9840 De Pinte,,,De Pinte B / HNO Assenede B,
2024-11-15T20:15:00,,,,20250107T233506CET-0273MP6dOi@competitie.vttl.be,,POVLH08/052 HNO Assenede B / KTTC Eikenlo C,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede B / KTTC Eikenlo C,
2024-11-22T20:00:00,,,,20250107T233506CET-0273cv4Lh5@competitie.vttl.be,,POVLH09/051 Rooigem-Gent I / HNO Assenede B,TTC Rooigem Gent vzw, Rooigemlaan 180, 9000 Gent,,,Rooigem-Gent I / HNO Assenede B,
2024-11-29T20:15:00,,,,20250107T233506CET-0274LvSMT8@competitie.vttl.be,,POVLH10/049 HNO Assenede B / Egmont B,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede B / Egmont B,
2024-12-06T20:00:00,,,,20250107T233506CET-0275tJ2uX5@competitie.vttl.be,,POVLH11/050 Sleidinge C / HNO Assenede B,GBS Wippelgem, Droogte 208, 9940 Evergem (Wippelgem),,,Sleidinge C / HNO Assenede B,
2025-01-11T19:00:00,,,,20250107T233506CET-0275HvZhVs@competitie.vttl.be,,POVLH12/054 Sint-Niklase F / HNO Assenede B,Hoofdlokaal, Nijverheidsstraat 29, 9100 Sint-Niklaas,,,Sint-Niklase F / HNO Assenede B,
2025-01-17T20:15:00,,,,20250107T233506CET-0276tMFKuh@competitie.vttl.be,,POVLH13/054 HNO Assenede B / D'leeuw 2001 B,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede B / D'leeuw 2001 B,
2025-01-25T19:00:00,,,,20250107T233506CET-0277a5XzB6@competitie.vttl.be,,POVLH14/053 QLT Gent D / HNO Assenede B,QLT BV, Johannes Hartmannlaan 4, 9040 Sint-Amandsberg,,,QLT Gent D / HNO Assenede B,
2025-02-08T19:00:00,,,,20250107T233506CET-0277v4Zttp@competitie.vttl.be,,POVLH15/053 Kruibeke E / HNO Assenede B,O.L.V-School, Langestraat 14, 9150 Kruibeke,,,Kruibeke E / HNO Assenede B,
2025-02-14T20:15:00,,,,20250107T233506CET-027867ivGW@competitie.vttl.be,,POVLH16/053 HNO Assenede B / Meteor B,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede B / Meteor B,
2025-02-22T18:30:00,,,,20250107T233506CET-0278m6V5Ia@competitie.vttl.be,,POVLH17/054 Maldegem C / HNO Assenede B,Sporthal MEOS, Bloemestraat 36, 9990 Maldegem,,,Maldegem C / HNO Assenede B,
2025-03-07T20:15:00,,,,20250107T233506CET-0279SUA7mJ@competitie.vttl.be,,POVLH18/054 HNO Assenede B / De Pinte B,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede B / De Pinte B,
2025-03-15T19:00:00,,,,20250107T233506CET-0279bM0vpB@competitie.vttl.be,,POVLH19/052 KTTC Eikenlo C / HNO Assenede B,Feestzaal Sparrenhof / Zaal KTTC Eikenlo, Brugsesteenweg 183, 9900 Eeklo,,,KTTC Eikenlo C / HNO Assenede B,
2025-03-28T20:15:00,,,,20250107T233506CET-0280UanVo2@competitie.vttl.be,,POVLH20/051 HNO Assenede B / Rooigem-Gent I,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede B / Rooigem-Gent I,
2025-04-04T20:00:00,,,,20250107T233506CET-0280fZ6O2m@competitie.vttl.be,,POVLH21/049 Egmont B / HNO Assenede B,Sportcomplex Bevegemse Vijvers, Zwembadstraat 7, 9620 Zottegem,,,Egmont B / HNO Assenede B,
2025-04-11T20:15:00,,,,20250107T233506CET-02816u3pld@competitie.vttl.be,,POVLH22/050 HNO Assenede B / Sleidinge C,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede B / Sleidinge C,
