date,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,title,transp
2024-09-13T20:15:00,,,,20250107T233512CET-9829xz2hUI@competitie.vttl.be,,POVLH01/066 HNO Assenede C / Hamme G,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede C / Hamme G,
2024-09-20T20:00:00,,,,20250107T233512CET-9830gliSSn@competitie.vttl.be,,POVLH02/066 Stekene H / HNO Assenede C,Tafeltenniscentrum Stekene, Van Nature Actieflaan 7, 9190 Stekene,,,Stekene H / HNO Assenede C,
2024-09-27T20:15:00,,,,20250107T233512CET-9831B0VV6b@competitie.vttl.be,,POVLH03/065 HNO Assenede C / Galmaarden E,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede C / Galmaarden E,
2024-10-04T20:15:00,,,,20250107T233512CET-9831pHiUSF@competitie.vttl.be,,POVLH04/065 HNO Assenede C / De Pinte F,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede C / De Pinte F,
2024-10-18T20:00:00,,,,20250107T233512CET-9832RaICXt@competitie.vttl.be,,POVLH05/065 Aalst F / HNO Assenede C,Campus De Voorstad, Cesar Haeltermanstraat 71, 9300 Aalst,,,Aalst F / HNO Assenede C,
2024-11-01T20:00:00,,,,20250107T233512CET-9833LeE8r9@competitie.vttl.be,,POVLH07/066 Kruibeke F / HNO Assenede C,O.L.V-School, Langestraat 14, 9150 Kruibeke,,,Kruibeke F / HNO Assenede C,
2024-11-15T20:15:00,,,,20250107T233512CET-9834KTdbO6@competitie.vttl.be,,POVLH08/064 HNO Assenede C / Sterke Stut D,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede C / Sterke Stut D,
2024-11-22T20:00:00,,,,20250107T233512CET-9834F7si5f@competitie.vttl.be,,POVLH09/063 Ronse E / HNO Assenede C,Sporthal 't Rosco, Leuzesesteenweg 241, 9600 Ronse,,,Ronse E / HNO Assenede C,
2024-11-29T20:15:00,,,,20250107T233512CET-9835C06VG3@competitie.vttl.be,,POVLH10/061 HNO Assenede C / QLT Gent F,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede C / QLT Gent F,
2024-12-06T20:00:00,,,,20250107T233512CET-9835DTupiB@competitie.vttl.be,,POVLH11/062 HtB Lebbeke B / HNO Assenede C,Kerk Heilig Kruis, Lange Minnestraat 63, 9280 Lebbeke,,,HtB Lebbeke B / HNO Assenede C,
2025-01-10T20:00:00,,,,20250107T233512CET-9836XotSef@competitie.vttl.be,,POVLH12/066 Hamme G / HNO Assenede C,TTC Hamme, Cesar De Golspark 6, 9220 Hamme,,,Hamme G / HNO Assenede C,
2025-01-17T20:15:00,,,,20250107T233512CET-98374hCCUp@competitie.vttl.be,,POVLH13/066 HNO Assenede C / Stekene H,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede C / Stekene H,
2025-01-25T19:30:00,,,,20250107T233512CET-9837DBSUnJ@competitie.vttl.be,,POVLH14/065 Galmaarden E / HNO Assenede C,T.R.B.Zaal, Marktplein 19, 1570 Galmaarden,,,Galmaarden E / HNO Assenede C,
2025-02-07T20:00:00,,,,20250107T233512CET-98389HBZzG@competitie.vttl.be,,POVLH15/065 De Pinte F / HNO Assenede C,Ontmoetingscentrum Polderbos, Polderbos 20, 9840 De Pinte,,,De Pinte F / HNO Assenede C,
2025-02-14T20:15:00,,,,20250107T233512CET-98389PAVMs@competitie.vttl.be,,POVLH16/065 HNO Assenede C / Aalst F,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede C / Aalst F,
2025-03-07T20:15:00,,,,20250107T233512CET-9839VsgX95@competitie.vttl.be,,POVLH18/066 HNO Assenede C / Kruibeke F,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede C / Kruibeke F,
2025-03-14T19:30:00,,,,20250107T233512CET-9840Ktin3K@competitie.vttl.be,,POVLH19/064 Sterke Stut D / HNO Assenede C,Sporthal De Kluize, Sportstraat 5, 9860 Scheldewindeke,,,Sterke Stut D / HNO Assenede C,
2025-03-28T20:15:00,,,,20250107T233512CET-9840CTZd6U@competitie.vttl.be,,POVLH20/063 HNO Assenede C / Ronse E,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede C / Ronse E,
2025-04-04T20:00:00,,,,20250107T233512CET-9841kfBJOa@competitie.vttl.be,,POVLH21/061 QLT Gent F / HNO Assenede C,QLT BV, Johannes Hartmannlaan 4, 9040 Sint Amandsberg,,,QLT Gent F / HNO Assenede C,
2025-04-11T20:15:00,,,,20250107T233512CET-9841lHpD5z@competitie.vttl.be,,POVLH22/062 HNO Assenede C / HtB Lebbeke B,VBS Het Ooievaartnest, Leegstraat 19, 9960 Assenede,,,HNO Assenede C / HtB Lebbeke B,
